Platform,Year_of_Release,Genre,Publisher,Above_Average_Critic_Score,Above_Average_User_Score,Log_Global_Sales
PS2,2001,Action,Acclaim Entertainment,False,True,-1.9661128563728327
GC,2001,Sports,Electronic Arts,True,True,-0.616186139423817
PS2,2001,Sports,Codemasters,False,True,-0.31471074483970024
PS2,2001,Action,Take-Two Interactive,False,True,-1.3470736479666092
XB,2001,Platform,Atari,True,True,-0.31471074483970024
GBA,2001,Platform,Nintendo,True,True,0.8153648132841944
PS2,2001,Action,Eidos Interactive,True,True,-2.4079456086518722
PS2,2001,Racing,Sony Computer Entertainment,True,True,0.34358970439007686
PS2,2001,Simulation,Tecmo Koei,True,True,-1.0216512475319814
XB,2001,Sports,Electronic Arts,True,True,-1.3093333199837622
PS2,2001,Role-Playing,Sony Computer Entertainment,True,True,2.0856720914304723
PS,2001,Role-Playing,Square,True,True,-0.6539264674066639
GBA,2001,Racing,Nintendo,True,True,1.6992786164338898
PS2,2001,Role-Playing,Metro 3D,False,False,-2.4079456086518722
PC,2001,Simulation,Electronic Arts,True,True,0.7701082216960737
GC,2001,Puzzle,Atari,True,True,0.37843643572024505
XB,2001,Action,Activision,False,False,-0.35667494393873245
PS2,2001,Racing,Atari,True,True,-0.35667494393873245
PS,2001,Sports,Activision,True,True,-0.616186139423817
PS,2001,Fighting,Activision,True,True,-0.3285040669720361
XB,2001,Racing,Microsoft Game Studios,True,True,0.7514160886839212
GBA,2001,Strategy,Nintendo,True,True,-0.35667494393873245
PS2,2001,Sports,Konami Digital Entertainment,False,True,-1.0216512475319814
PS,2001,Platform,Infogrames,True,True,-2.120263536200091
PS2,2001,Action,Take-Two Interactive,False,True,-0.6348782724359695
PS,2001,Misc,Activision,False,True,-2.4079456086518722
DC,2001,Role-Playing,Sega,True,True,-1.6607312068216509
GBA,2001,Platform,Nintendo,True,True,1.7029282555214393
PS,2001,Sports,Electronic Arts,True,True,-0.6539264674066639
PS2,2001,Platform,Universal Interactive,False,True,1.6900958154515549
PS2,2001,Misc,Sony Computer Entertainment,False,False,-1.9661128563728327
PS2,2001,Racing,THQ,True,True,-0.579818495252942
PS2,2001,Shooter,Codemasters,False,False,-0.579818495252942
PS2,2001,Platform,Capcom,True,True,-0.2613647641344075
GBA,2001,Role-Playing,Nintendo,True,True,-0.6931471805599453
GBA,2001,Racing,THQ,True,False,-2.2072749131897207
GC,2001,Sports,Acclaim Entertainment,False,False,-1.5141277326297755
PS2,2001,Action,Universal Interactive,False,False,-0.6931471805599453
GC,2001,Adventure,Ubisoft,False,False,-1.3470736479666092
GBA,2001,Platform,Ubisoft,True,True,-0.6931471805599453
PS2,2001,Role-Playing,Eidos Interactive,False,True,-1.3470736479666092
PS2,2001,Sports,3DO,False,False,-1.9661128563728327
PS,2001,Role-Playing,Electronic Arts,False,True,-0.4155154439616658
PS2,2001,Racing,Acclaim Entertainment,True,True,0.9242589015233319
XB,2001,Action,Genki,False,False,-2.8134107167600364
PS2,2001,Sports,Sony Computer Entertainment,False,False,-0.9675840262617056
PS,2001,Racing,Activision,False,False,-1.0216512475319814
PS2,2001,Role-Playing,Sony Computer Entertainment,False,True,-1.0216512475319814
PS2,2001,Role-Playing,Ubisoft,False,True,-2.4079456086518722
DC,2001,Racing,Sega,True,True,-2.659260036932778
PS2,2001,Misc,Sony Computer Entertainment,False,False,-0.6733445532637656
PS,2001,Sports,Electronic Arts,True,True,0.3293037471426003
PS2,2001,Action,Capcom,True,True,0.85015092936961
PS2,2001,Racing,Acclaim Entertainment,True,True,-0.3011050927839216
PS,2001,Shooter,Virgin Interactive,True,True,-2.4079456086518722
GBA,2001,Shooter,Activision,True,True,-1.9661128563728327
PS2,2001,Fighting,Capcom,True,True,-0.2876820724517809
PS2,2001,Shooter,Konami Digital Entertainment,True,True,-0.2876820724517809
